"Año","Comunidad autónoma","Provincia","Número de órdenes de protección"
"Año 2015","Extremadura","Badajoz","89.0"
"Año 2015","Extremadura","Cáceres","53.0"
"Año 2015","Galicia","A Coruña","121.0"
"Año 2015","Galicia","Lugo","55.0"
"Año 2015","Galicia","Ourense","28.0"
"Año 2015","Galicia","Pontevedra","120.0"
"Año 2015","Comunidad de Madrid","Madrid","1191.0"
"Año 2015","Región de Murcia","Murcia","289.0"
"Año 2015","Comunidad Foral de Navarra","Navarra","89.0"
"Año 2015","País Vasco","Álava","12.0"
"Año 2015","País Vasco","Guipúzcoa","68.0"
"Año 2015","País Vasco","Vizcaya","93.0"
"Año 2015","La Rioja","La Rioja","59.0"
"Año 2015","Ceuta","Ceuta","5.0"
"Año 2015","Melilla","Melilla","28.0"
